GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
57,2023-02-14,,Ottawa Senators,2,3,L,SO,,34,12,1,3,0,64,48,57.1,49,33,59.8,21,26,44.7,64.0,98.7,New York Islanders,New York Islanders,Ottawa Senators,2,3
58,2023-02-17,,Pittsburgh Penguins,5,4,W,,,44,4,0,1,0,41,79,34.2,30,62,32.6,22,35,38.6,53.8,106.7,New York Islanders,New York Islanders,Pittsburgh Penguins,5,4
59,2023-02-18,@,Boston Bruins,2,6,L,,,27,4,1,3,0,53,46,53.5,41,37,52.6,16,19,45.7,55.1,84.4,New York Islanders,Boston Bruins,New York Islanders,6,2
60,2023-02-20,@,Pittsburgh Penguins,4,2,W,,,46,30,1,4,0,52,64,44.8,33,51,39.3,26,16,61.9,41.4,112.3,New York Islanders,Pittsburgh Penguins,New York Islanders,2,4
61,2023-02-22,,Winnipeg Jets,2,1,W,,,26,10,1,4,0,33,40,45.2,24,29,45.3,13,22,37.1,39.7,111.1,New York Islanders,New York Islanders,Winnipeg Jets,2,1
62,2023-02-24,,Los Angeles Kings,2,3,L,,,28,6,0,2,0,41,41,50.0,28,33,45.9,13,20,39.4,64.7,95.6,New York Islanders,New York Islanders,Los Angeles Kings,2,3
63,2023-02-26,@,Winnipeg Jets,4,0,W,,,23,7,0,3,0,39,60,39.4,31,38,44.9,20,18,52.6,40.0,113.6,New York Islanders,Winnipeg Jets,New York Islanders,0,4
64,2023-02-28,@,Minnesota Wild,1,2,L,SO,,31,5,0,1,0,62,50,55.4,49,37,57.0,22,16,57.9,63.4,99.0,New York Islanders,Minnesota Wild,New York Islanders,2,1
65,2023-03-04,,Detroit Red Wings,4,1,W,,,23,4,1,3,0,56,36,60.9,46,25,64.8,24,9,72.7,50.0,109.4,New York Islanders,New York Islanders,Detroit Red Wings,4,1
66,2023-03-07,,Buffalo Sabres,3,2,W,,,24,4,0,2,0,53,58,47.7,45,27,62.5,29,16,64.4,50.2,100.2,New York Islanders,New York Islanders,Buffalo Sabres,3,2
67,2023-03-09,@,Pittsburgh Penguins,4,3,W,OT,,36,10,0,3,0,51,54,48.6,30,46,39.5,18,20,47.4,63.6,107.6,New York Islanders,Pittsburgh Penguins,New York Islanders,3,4
68,2023-03-11,,Washington Capitals,1,5,L,,,27,10,0,4,0,40,32,55.6,28,27,50.9,17,17,50.0,40.8,84.5,New York Islanders,New York Islanders,Washington Capitals,1,5
69,2023-03-14,@,Los Angeles Kings,2,5,L,,,37,8,2,2,0,50,61,45.0,35,49,41.7,18,27,40.0,30.0,98.6,New York Islanders,Los Angeles Kings,New York Islanders,5,2
70,2023-03-15,@,Anaheim Ducks,6,3,W,,,23,2,1,2,0,54,36,60.0,37,26,58.7,24,18,57.1,60.0,110.7,New York Islanders,Anaheim Ducks,New York Islanders,3,6
71,2023-03-18,@,San Jose Sharks,4,1,W,,,30,12,0,2,0,46,50,47.9,36,34,51.4,15,21,41.7,64.0,105.0,New York Islanders,San Jose Sharks,New York Islanders,1,4
72,2023-03-21,,Toronto Maple Leafs,7,2,W,,,27,9,0,1,0,44,60,42.3,35,41,46.1,32,21,60.4,44.9,116.4,New York Islanders,New York Islanders,Toronto Maple Leafs,7,2
73,2023-03-24,@,Columbus Blue Jackets,4,5,L,OT,,27,2,2,4,0,74,47,61.2,57,35,62.0,24,20,54.5,53.6,95.3,New York Islanders,Columbus Blue Jackets,New York Islanders,5,4
74,2023-03-25,,Buffalo Sabres,0,2,L,,,35,4,0,3,0,41,54,43.2,29,39,42.6,28,13,68.3,53.6,93.5,New York Islanders,New York Islanders,Buffalo Sabres,0,2
75,2023-03-27,,New Jersey Devils,5,1,W,,,31,2,0,2,1,60,60,50.0,46,43,51.7,28,19,59.6,25.8,112.1,New York Islanders,New York Islanders,New Jersey Devils,5,1
76,2023-03-29,@,Washington Capitals,2,1,W,SO,,26,4,0,0,0,63,51,55.3,38,36,51.4,31,25,55.4,57.9,99.6,New York Islanders,Washington Capitals,New York Islanders,1,2
77,2023-04-01,@,Tampa Bay Lightning,0,5,L,,,32,18,1,2,0,55,48,53.4,43,38,53.1,17,21,44.7,47.3,85.2,New York Islanders,Tampa Bay Lightning,New York Islanders,5,0
78,2023-04-02,@,Carolina Hurricanes,1,2,L,,,35,4,0,2,0,42,58,42.0,30,42,41.7,25,28,47.2,47.4,98.1,New York Islanders,Carolina Hurricanes,New York Islanders,2,1
79,2023-04-06,,Tampa Bay Lightning,6,1,W,,,31,6,0,1,0,77,44,63.6,53,34,60.9,33,25,56.9,49.8,111.0,New York Islanders,New York Islanders,Tampa Bay Lightning,6,1
80,2023-04-08,,Philadelphia Flyers,4,0,W,,,27,4,0,2,0,49,51,49.0,33,37,47.1,24,13,64.9,34.8,121.1,New York Islanders,New York Islanders,Philadelphia Flyers,4,0
81,2023-04-10,@,Washington Capitals,2,5,L,,,25,8,0,0,0,85,48,63.9,63,35,64.3,40,24,62.5,57.8,84.3,New York Islanders,Washington Capitals,New York Islanders,5,2
82,2023-04-12,,Montreal Canadiens,4,2,W,,,19,8,0,1,1,63,47,57.3,44,28,61.1,34,15,69.4,39.2,104.4,New York Islanders,New York Islanders,Montreal Canadiens,4,2
