GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
36,2022-12-29,,Vancouver Canucks,4,2,W,,,22,8,0,2,0,64,34,65.3,50,25,66.7,21,25,45.7,63.2,94.4,Winnipeg Jets,Winnipeg Jets,Vancouver Canucks,4,2
37,2022-12-31,@,Edmonton Oilers,2,1,W,,,32,6,0,5,0,26,48,35.1,20,36,35.7,22,15,59.5,32.0,104.2,Winnipeg Jets,Edmonton Oilers,Winnipeg Jets,1,2
38,2023-01-03,,Calgary Flames,3,2,W,,,35,10,0,2,0,45,53,45.9,32,39,45.1,20,22,47.6,39.5,107.3,Winnipeg Jets,Winnipeg Jets,Calgary Flames,3,2
39,2023-01-06,,Tampa Bay Lightning,4,2,W,,,28,21,0,4,0,32,46,41.0,24,33,42.1,13,17,43.3,47.2,100.0,Winnipeg Jets,Winnipeg Jets,Tampa Bay Lightning,4,2
40,2023-01-08,,Vancouver Canucks,7,4,W,,,38,0,1,3,0,45,41,52.3,32,36,47.1,25,24,51.0,45.2,114.9,Winnipeg Jets,Winnipeg Jets,Vancouver Canucks,7,4
41,2023-01-10,@,Detroit Red Wings,5,7,L,,,23,6,1,3,0,78,34,69.6,56,24,70.0,32,23,58.2,83.7,76.1,Winnipeg Jets,Detroit Red Wings,Winnipeg Jets,7,5
42,2023-01-12,@,Buffalo Sabres,4,2,W,,,41,6,0,5,0,38,56,40.4,30,44,40.5,27,20,57.4,51.1,109.8,Winnipeg Jets,Buffalo Sabres,Winnipeg Jets,2,4
43,2023-01-13,@,Pittsburgh Penguins,4,1,W,,,23,9,0,2,0,51,37,58.0,38,27,58.5,25,26,49.0,63.6,104.9,Winnipeg Jets,Pittsburgh Penguins,Winnipeg Jets,1,4
44,2023-01-15,,Arizona Coyotes,2,1,W,,,21,4,0,3,0,41,35,53.9,32,28,53.3,25,14,64.1,42.9,98.5,Winnipeg Jets,Winnipeg Jets,Arizona Coyotes,2,1
45,2023-01-17,@,Montreal Canadiens,1,4,L,,,28,9,0,3,0,57,43,57.0,41,34,54.7,24,20,54.5,65.6,85.2,Winnipeg Jets,Montreal Canadiens,Winnipeg Jets,4,1
