GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
51,2023-01-27,@,Florida Panthers,4,3,W,,,48,8,0,5,0,47,68,40.9,34,53,39.1,23,25,47.9,35.3,99.9,Los Angeles Kings,Florida Panthers,Los Angeles Kings,3,4
52,2023-01-28,@,Tampa Bay Lightning,2,5,L,,,25,14,0,2,0,43,47,47.8,34,33,50.7,21,31,40.4,48.5,87.2,Los Angeles Kings,Tampa Bay Lightning,Los Angeles Kings,5,2
53,2023-01-31,@,Carolina Hurricanes,4,5,L,OT,,30,4,2,2,0,35,61,36.5,28,48,36.8,26,34,43.3,31.3,104.3,Los Angeles Kings,Carolina Hurricanes,Los Angeles Kings,5,4
54,2023-02-11,,Pittsburgh Penguins,6,0,W,,,25,30,0,5,0,43,47,47.8,33,29,53.2,15,15,50.0,55.6,116.0,Los Angeles Kings,Los Angeles Kings,Pittsburgh Penguins,6,0
55,2023-02-13,,Buffalo Sabres,5,2,W,,,29,8,1,5,0,41,48,46.1,32,34,48.5,27,17,61.4,17.9,106.0,Los Angeles Kings,Los Angeles Kings,Buffalo Sabres,5,2
56,2023-02-17,@,Anaheim Ducks,6,3,W,,,27,16,1,2,0,60,48,55.6,47,39,54.7,26,14,65.0,63.0,101.0,Los Angeles Kings,Anaheim Ducks,Los Angeles Kings,3,6
57,2023-02-18,,Arizona Coyotes,6,5,W,SO,,32,10,1,3,0,56,40,58.3,41,31,56.9,23,21,52.3,65.3,97.3,Los Angeles Kings,Los Angeles Kings,Arizona Coyotes,6,5
58,2023-02-21,@,Minnesota Wild,1,2,L,,,20,2,0,3,0,71,33,68.3,50,23,68.5,21,15,58.3,59.6,89.7,Los Angeles Kings,Minnesota Wild,Los Angeles Kings,2,1
59,2023-02-23,@,New Jersey Devils,3,4,L,OT,,32,2,0,4,0,38,55,40.9,30,41,42.3,18,27,40.0,35.1,100.2,Los Angeles Kings,New Jersey Devils,Los Angeles Kings,4,3
60,2023-02-24,@,New York Islanders,3,2,W,,,18,4,1,3,0,41,41,50.0,33,28,54.1,20,13,60.6,35.3,104.4,Los Angeles Kings,New York Islanders,Los Angeles Kings,2,3
61,2023-02-26,@,New York Rangers,2,5,L,,,21,11,1,4,0,49,36,57.6,36,30,54.5,17,14,54.8,63.8,82.1,Los Angeles Kings,New York Rangers,Los Angeles Kings,5,2
62,2023-02-28,@,Winnipeg Jets,6,5,W,SO,,31,10,0,3,1,53,59,47.3,36,38,48.6,21,21,50.0,64.4,99.5,Los Angeles Kings,Winnipeg Jets,Los Angeles Kings,5,6
63,2023-03-02,,Montreal Canadiens,3,2,W,,,21,8,1,3,0,47,31,60.3,38,22,63.3,20,19,51.3,64.0,104.9,Los Angeles Kings,Los Angeles Kings,Montreal Canadiens,3,2
64,2023-03-04,,St. Louis Blues,4,2,W,,,26,6,0,3,1,55,38,59.1,41,23,64.1,20,18,52.6,63.6,103.8,Los Angeles Kings,Los Angeles Kings,St. Louis Blues,4,2
65,2023-03-06,,Washington Capitals,4,2,W,,,22,10,1,5,0,60,30,66.7,51,22,69.9,22,18,55.0,44.9,104.6,Los Angeles Kings,Los Angeles Kings,Washington Capitals,4,2
66,2023-03-09,@,Colorado Avalanche,5,2,W,,,30,8,1,3,0,35,56,38.5,29,42,40.8,21,18,53.8,30.4,114.9,Los Angeles Kings,Colorado Avalanche,Los Angeles Kings,2,5
67,2023-03-11,,Nashville Predators,1,2,L,SO,,30,8,1,2,0,64,53,54.7,45,39,53.6,24,21,53.3,65.0,104.0,Los Angeles Kings,Los Angeles Kings,Nashville Predators,1,2
68,2023-03-14,,New York Islanders,5,2,W,,,28,6,0,3,0,61,50,55.0,49,35,58.3,27,18,60.0,70.0,101.4,Los Angeles Kings,Los Angeles Kings,New York Islanders,5,2
69,2023-03-16,,Columbus Blue Jackets,4,1,W,,,30,6,0,2,0,60,42,58.8,42,30,58.3,23,16,59.0,50.0,107.4,Los Angeles Kings,Los Angeles Kings,Columbus Blue Jackets,4,1
70,2023-03-18,,Vancouver Canucks,2,3,L,SO,,17,4,1,1,0,69,39,63.9,52,28,65.0,27,17,61.4,73.4,99.2,Los Angeles Kings,Los Angeles Kings,Vancouver Canucks,2,3
71,2023-03-20,,Calgary Flames,8,2,W,,,18,20,1,4,0,45,35,56.3,34,22,60.7,23,24,48.9,55.5,111.7,Los Angeles Kings,Los Angeles Kings,Calgary Flames,8,2
72,2023-03-25,,Winnipeg Jets,4,1,W,,,26,6,1,6,0,35,41,46.1,25,29,46.3,23,12,65.7,53.8,114.3,Los Angeles Kings,Los Angeles Kings,Winnipeg Jets,4,1
73,2023-03-26,,St. Louis Blues,7,6,W,,,22,20,2,2,0,50,43,53.8,45,25,64.3,27,23,54.0,62.1,86.6,Los Angeles Kings,Los Angeles Kings,St. Louis Blues,7,6
74,2023-03-28,@,Calgary Flames,1,2,L,,,32,4,1,3,0,47,55,46.1,36,45,44.4,25,17,59.5,48.3,99.9,Los Angeles Kings,Calgary Flames,Los Angeles Kings,2,1
75,2023-03-30,@,Edmonton Oilers,0,2,L,,,37,6,0,2,1,54,48,52.9,42,38,52.5,29,27,51.8,55.8,96.8,Los Angeles Kings,Edmonton Oilers,Los Angeles Kings,2,0
76,2023-04-01,@,Seattle Kraken,3,1,W,,,26,2,1,2,0,43,44,49.4,35,33,51.5,37,20,64.9,41.5,115.8,Los Angeles Kings,Seattle Kraken,Los Angeles Kings,1,3
77,2023-04-02,@,Vancouver Canucks,4,1,W,,,25,4,0,4,0,46,40,53.5,31,32,49.2,20,24,45.5,67.7,109.5,Los Angeles Kings,Vancouver Canucks,Los Angeles Kings,1,4
78,2023-04-04,,Edmonton Oilers,1,3,L,,,33,10,2,4,0,30,45,40.0,23,34,40.4,17,29,37.0,58.7,102.2,Los Angeles Kings,Los Angeles Kings,Edmonton Oilers,1,3
79,2023-04-06,@,Vegas Golden Knights,2,5,L,,,37,19,1,4,0,58,48,54.7,42,36,53.8,26,25,51.0,49.1,86.2,Los Angeles Kings,Vegas Golden Knights,Los Angeles Kings,5,2
80,2023-04-08,,Colorado Avalanche,3,4,L,,,23,16,0,2,0,62,49,55.9,46,36,56.1,24,21,53.3,64.0,85.6,Los Angeles Kings,Los Angeles Kings,Colorado Avalanche,3,4
81,2023-04-10,,Vancouver Canucks,3,0,W,,,20,12,0,2,0,50,30,62.5,35,16,68.6,22,13,62.9,42.1,111.1,Los Angeles Kings,Los Angeles Kings,Vancouver Canucks,3,0
82,2023-04-13,@,Anaheim Ducks,5,3,W,,,24,50,0,2,0,49,31,61.3,33,22,60.0,21,16,56.8,58.7,97.0,Los Angeles Kings,Anaheim Ducks,Los Angeles Kings,3,5
