GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
35,2022-12-27,@,St. Louis Blues,5,4,W,OT,,34,4,1,4,0,52,50,51.0,45,37,54.9,22,18,55.0,56.5,101.4,Toronto Maple Leafs,St. Louis Blues,Toronto Maple Leafs,4,5
36,2022-12-29,@,Arizona Coyotes,3,6,L,,,23,11,2,3,0,49,31,61.3,34,22,60.7,20,27,42.6,61.1,81.6,Toronto Maple Leafs,Arizona Coyotes,Toronto Maple Leafs,6,3
37,2022-12-31,@,Colorado Avalanche,6,2,W,,,28,8,0,3,0,40,53,43.0,31,34,47.7,26,14,65.0,53.8,108.9,Toronto Maple Leafs,Colorado Avalanche,Toronto Maple Leafs,2,6
38,2023-01-03,,St. Louis Blues,5,6,L,SO,,32,6,2,2,1,52,48,52.0,38,34,52.8,30,14,68.2,56.8,109.7,Toronto Maple Leafs,Toronto Maple Leafs,St. Louis Blues,5,6
39,2023-01-05,,Seattle Kraken,1,5,L,,,26,10,1,2,0,45,41,52.3,36,28,56.3,23,15,60.5,45.8,81.0,Toronto Maple Leafs,Toronto Maple Leafs,Seattle Kraken,1,5
40,2023-01-07,,Detroit Red Wings,4,1,W,,,23,10,0,4,0,36,34,51.4,27,28,49.1,22,20,52.4,61.6,107.8,Toronto Maple Leafs,Toronto Maple Leafs,Detroit Red Wings,4,1
41,2023-01-08,@,Philadelphia Flyers,6,2,W,,,36,6,0,4,0,46,63,42.2,34,49,41.0,22,18,55.0,48.8,109.5,Toronto Maple Leafs,Philadelphia Flyers,Toronto Maple Leafs,2,6
42,2023-01-11,,Nashville Predators,2,1,W,,,33,10,0,2,0,50,38,56.8,40,26,60.6,23,20,53.5,56.7,99.4,Toronto Maple Leafs,Toronto Maple Leafs,Nashville Predators,2,1
43,2023-01-12,@,Detroit Red Wings,1,4,L,,,23,6,2,5,0,45,33,57.7,34,26,56.7,14,21,40.0,65.7,93.3,Toronto Maple Leafs,Detroit Red Wings,Toronto Maple Leafs,4,1
44,2023-01-14,@,Boston Bruins,3,4,L,,,34,21,0,2,0,53,55,49.1,31,41,43.1,24,24,50.0,56.0,97.6,Toronto Maple Leafs,Boston Bruins,Toronto Maple Leafs,4,3
45,2023-01-17,,Florida Panthers,5,4,W,OT,,19,18,1,3,1,48,36,57.1,38,21,64.4,24,19,55.8,50.3,95.7,Toronto Maple Leafs,Toronto Maple Leafs,Florida Panthers,5,4
46,2023-01-19,,Winnipeg Jets,4,1,W,,,38,2,1,4,0,38,58,39.6,34,44,43.6,21,25,45.7,45.7,112.5,Toronto Maple Leafs,Toronto Maple Leafs,Winnipeg Jets,4,1
47,2023-01-21,@,Montreal Canadiens,2,3,L,OT,,31,6,0,4,0,68,40,63.0,49,29,62.8,21,11,65.6,43.4,93.2,Toronto Maple Leafs,Montreal Canadiens,Toronto Maple Leafs,3,2
