GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
34,2022-12-21,,Minnesota Wild,1,4,L,,,42,6,1,6,0,42,51,45.2,34,36,48.6,17,24,41.5,51.5,91.7,Anaheim Ducks,Anaheim Ducks,Minnesota Wild,1,4
35,2022-12-23,,Calgary Flames,2,3,L,OT,,45,15,0,4,0,39,61,39.0,29,48,37.7,17,30,36.2,30.1,90.9,Anaheim Ducks,Anaheim Ducks,Calgary Flames,2,3
36,2022-12-28,,Vegas Golden Knights,3,2,W,SO,,51,10,0,5,1,42,63,40.0,26,46,36.1,16,30,34.8,40.2,108.3,Anaheim Ducks,Anaheim Ducks,Vegas Golden Knights,3,2
37,2022-12-30,,Nashville Predators,1,6,L,,,43,2,1,1,0,54,76,41.5,45,59,43.3,21,23,47.7,50.0,92.1,Anaheim Ducks,Anaheim Ducks,Nashville Predators,1,6
38,2023-01-02,,Philadelphia Flyers,1,4,L,,,33,10,0,2,0,33,42,44.0,25,33,43.1,13,17,43.3,26.3,89.9,Anaheim Ducks,Anaheim Ducks,Philadelphia Flyers,1,4
39,2023-01-04,,Dallas Stars,2,0,W,,,35,2,0,4,0,47,60,43.9,33,40,45.2,21,33,38.9,59.5,104.3,Anaheim Ducks,Anaheim Ducks,Dallas Stars,2,0
40,2023-01-06,,San Jose Sharks,5,4,W,OT,,41,13,0,2,0,55,62,47.0,42,53,44.2,36,21,63.2,61.2,109.0,Anaheim Ducks,Anaheim Ducks,San Jose Sharks,5,4
41,2023-01-08,,Boston Bruins,1,7,L,,,42,6,1,2,0,47,59,44.3,29,50,36.7,22,20,52.4,52.0,89.0,Anaheim Ducks,Anaheim Ducks,Boston Bruins,1,7
42,2023-01-11,,Edmonton Oilers,2,6,L,,,53,6,1,3,0,34,72,32.1,29,59,33.0,25,27,48.1,23.3,100.1,Anaheim Ducks,Anaheim Ducks,Edmonton Oilers,2,6
43,2023-01-13,,New Jersey Devils,2,6,L,,,39,15,1,2,0,48,55,46.6,38,48,44.2,16,26,38.1,57.1,90.2,Anaheim Ducks,Anaheim Ducks,New Jersey Devils,2,6
44,2023-01-16,@,Pittsburgh Penguins,3,4,L,OT,,45,8,0,4,0,37,68,35.2,27,50,35.1,19,21,47.5,43.6,94.3,Anaheim Ducks,Pittsburgh Penguins,Anaheim Ducks,4,3
45,2023-01-17,@,Philadelphia Flyers,2,5,L,,,39,11,1,5,1,39,49,44.3,31,38,44.9,21,18,53.8,30.8,93.0,Anaheim Ducks,Philadelphia Flyers,Anaheim Ducks,5,2
46,2023-01-19,@,Columbus Blue Jackets,5,3,W,,,33,11,0,1,0,44,56,44.0,36,44,45.0,23,21,52.3,46.4,108.2,Anaheim Ducks,Columbus Blue Jackets,Anaheim Ducks,3,5
47,2023-01-21,@,Buffalo Sabres,3,6,L,,,39,7,1,2,0,56,52,51.9,45,44,50.6,25,23,52.1,53.6,93.4,Anaheim Ducks,Buffalo Sabres,Anaheim Ducks,6,3
48,2023-01-24,@,Arizona Coyotes,5,2,W,,,39,27,1,4,0,55,61,47.4,47,43,52.2,26,26,50.0,52.6,107.4,Anaheim Ducks,Arizona Coyotes,Anaheim Ducks,2,5
49,2023-01-26,@,Colorado Avalanche,5,3,W,,,44,4,1,2,0,46,69,40.0,35,54,39.3,24,33,42.1,51.3,112.4,Anaheim Ducks,Colorado Avalanche,Anaheim Ducks,3,5
50,2023-01-28,,Arizona Coyotes,2,1,W,OT,,34,10,0,4,0,65,54,54.6,49,44,52.7,23,29,44.2,45.4,101.9,Anaheim Ducks,Anaheim Ducks,Arizona Coyotes,2,1
51,2023-02-06,@,Dallas Stars,2,3,L,SO,,41,8,0,5,0,42,68,38.2,33,49,40.2,16,27,37.2,41.0,97.9,Anaheim Ducks,Dallas Stars,Anaheim Ducks,3,2
52,2023-02-07,@,Chicago Blackhawks,3,2,W,OT,,29,4,0,2,0,36,54,40.0,27,39,40.9,18,27,40.0,31.4,104.7,Anaheim Ducks,Chicago Blackhawks,Anaheim Ducks,2,3
53,2023-02-10,,Pittsburgh Penguins,3,6,L,,,59,6,1,4,0,36,77,31.9,30,62,32.6,23,30,43.4,33.3,97.8,Anaheim Ducks,Anaheim Ducks,Pittsburgh Penguins,3,6
54,2023-02-12,@,Vegas Golden Knights,2,7,L,,,39,6,0,2,0,42,62,40.4,31,49,38.8,17,28,37.8,33.5,92.2,Anaheim Ducks,Vegas Golden Knights,Anaheim Ducks,7,2
55,2023-02-15,,Buffalo Sabres,3,7,L,,,44,18,1,5,0,36,48,42.9,27,39,40.9,23,20,53.5,38.1,95.6,Anaheim Ducks,Anaheim Ducks,Buffalo Sabres,3,7
56,2023-02-17,,Los Angeles Kings,3,6,L,,,41,13,3,4,0,48,60,44.4,39,47,45.3,14,26,35.0,37.0,99.0,Anaheim Ducks,Anaheim Ducks,Los Angeles Kings,3,6
57,2023-02-20,@,Florida Panthers,3,4,L,OT,,55,8,0,2,0,37,83,30.8,27,62,30.3,23,29,44.2,18.4,100.2,Anaheim Ducks,Florida Panthers,Anaheim Ducks,4,3
58,2023-02-21,@,Tampa Bay Lightning,1,6,L,,,44,28,2,5,0,29,59,33.0,23,48,32.4,16,24,40.0,57.1,92.8,Anaheim Ducks,Tampa Bay Lightning,Anaheim Ducks,6,1
59,2023-02-23,@,Washington Capitals,4,2,W,,,43,16,1,3,0,41,66,38.3,25,49,33.8,25,28,47.2,35.9,120.6,Anaheim Ducks,Washington Capitals,Anaheim Ducks,2,4
60,2023-02-25,@,Carolina Hurricanes,3,2,W,,,53,6,0,4,0,25,72,25.8,19,57,25.0,24,24,50.0,23.6,118.5,Anaheim Ducks,Carolina Hurricanes,Anaheim Ducks,2,3
61,2023-02-27,,Chicago Blackhawks,4,2,W,,,26,10,2,4,0,41,41,50.0,30,33,47.6,22,18,55.0,41.8,113.6,Anaheim Ducks,Anaheim Ducks,Chicago Blackhawks,4,2
62,2023-03-01,,Washington Capitals,2,3,L,OT,,39,9,0,3,0,44,44,50.0,36,38,48.6,29,20,59.2,42.4,99.5,Anaheim Ducks,Anaheim Ducks,Washington Capitals,2,3
63,2023-03-03,,Montreal Canadiens,3,2,W,,,28,6,0,3,0,51,42,54.8,37,33,52.9,18,26,40.9,58.1,95.7,Anaheim Ducks,Anaheim Ducks,Montreal Canadiens,3,2
64,2023-03-07,@,Seattle Kraken,2,5,L,,,31,8,1,2,0,38,45,45.8,28,36,43.8,22,22,50.0,40.3,94.0,Anaheim Ducks,Seattle Kraken,Anaheim Ducks,5,2
65,2023-03-08,@,Vancouver Canucks,2,3,L,OT,,34,4,0,0,1,44,62,41.5,30,50,37.5,18,24,42.9,37.5,103.5,Anaheim Ducks,Vancouver Canucks,Anaheim Ducks,3,2
66,2023-03-10,@,Calgary Flames,3,1,W,,,37,0,1,2,0,33,63,34.4,24,43,35.8,13,25,34.2,30.8,116.7,Anaheim Ducks,Calgary Flames,Anaheim Ducks,1,3
67,2023-03-12,,Nashville Predators,4,5,L,OT,,36,7,1,1,0,53,54,49.5,45,44,50.6,18,27,40.0,52.0,99.3,Anaheim Ducks,Anaheim Ducks,Nashville Predators,4,5
68,2023-03-15,,New York Islanders,3,6,L,,,33,4,0,1,0,36,54,40.0,26,37,41.3,18,24,42.9,40.0,89.3,Anaheim Ducks,Anaheim Ducks,New York Islanders,3,6
69,2023-03-17,,Columbus Blue Jackets,7,4,W,,,42,4,2,4,0,50,64,43.9,39,44,47.0,27,19,58.7,42.9,117.3,Anaheim Ducks,Anaheim Ducks,Columbus Blue Jackets,7,4
70,2023-03-19,,Vancouver Canucks,1,2,L,,,40,6,1,4,0,28,51,35.4,19,42,31.1,14,18,43.8,49.6,106.0,Anaheim Ducks,Anaheim Ducks,Vancouver Canucks,1,2
71,2023-03-21,,Calgary Flames,1,5,L,,,43,6,2,5,0,33,54,37.9,26,47,35.6,22,29,43.1,37.1,91.2,Anaheim Ducks,Anaheim Ducks,Calgary Flames,1,5
72,2023-03-23,,Winnipeg Jets,2,3,L,,,33,4,0,2,0,39,66,37.1,30,52,36.6,28,25,52.8,30.6,96.5,Anaheim Ducks,Anaheim Ducks,Winnipeg Jets,2,3
73,2023-03-25,,St. Louis Blues,3,6,L,,,36,10,0,4,0,49,45,52.1,36,41,46.8,28,21,57.1,58.7,92.4,Anaheim Ducks,Anaheim Ducks,St. Louis Blues,3,6
74,2023-03-27,,Colorado Avalanche,1,5,L,,,44,6,1,3,0,45,65,40.9,36,47,43.4,24,20,54.5,46.7,92.7,Anaheim Ducks,Anaheim Ducks,Colorado Avalanche,1,5
75,2023-03-30,@,Seattle Kraken,1,4,L,,,39,6,1,2,0,30,69,30.3,19,54,26.0,19,17,52.8,23.8,97.9,Anaheim Ducks,Seattle Kraken,Anaheim Ducks,4,1
76,2023-04-01,@,Edmonton Oilers,0,6,L,,,45,8,1,3,1,41,51,44.6,35,44,44.3,27,27,50.0,38.5,88.9,Anaheim Ducks,Edmonton Oilers,Anaheim Ducks,6,0
77,2023-04-02,@,Calgary Flames,4,5,L,,,41,2,1,2,0,36,76,32.1,28,60,31.8,30,32,48.4,30.0,109.7,Anaheim Ducks,Calgary Flames,Anaheim Ducks,5,4
78,2023-04-05,,Edmonton Oilers,1,3,L,,,33,2,0,1,0,48,48,50.0,34,39,46.6,21,27,43.8,55.6,93.3,Anaheim Ducks,Anaheim Ducks,Edmonton Oilers,1,3
79,2023-04-08,@,Arizona Coyotes,4,5,L,OT,,39,15,1,4,0,41,52,44.1,30,41,42.3,25,25,50.0,59.6,98.7,Anaheim Ducks,Arizona Coyotes,Anaheim Ducks,5,4
80,2023-04-09,,Colorado Avalanche,4,5,L,OT,,46,6,3,8,0,34,54,38.6,23,42,35.4,25,27,48.1,31.9,117.6,Anaheim Ducks,Anaheim Ducks,Colorado Avalanche,4,5
81,2023-04-11,,Vancouver Canucks,2,3,L,,,36,10,2,4,0,37,53,41.1,29,40,42.0,22,17,56.4,44.0,101.1,Anaheim Ducks,Anaheim Ducks,Vancouver Canucks,2,3
82,2023-04-13,,Los Angeles Kings,3,5,L,,,36,8,2,8,0,31,49,38.8,22,33,40.0,16,21,43.2,41.3,103.0,Anaheim Ducks,Anaheim Ducks,Los Angeles Kings,3,5
