GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
65,2023-03-11,,Ottawa Senators,5,2,W,,,20,21,0,3,0,38,40,48.7,29,28,50.9,20,25,44.4,60.8,102.5,Vancouver Canucks,Vancouver Canucks,Ottawa Senators,5,2
66,2023-03-14,,Dallas Stars,5,2,W,,,27,8,1,3,0,30,50,37.5,21,38,35.6,16,20,44.4,38.1,123.6,Vancouver Canucks,Vancouver Canucks,Dallas Stars,5,2
67,2023-03-16,@,Arizona Coyotes,2,3,L,,,27,20,2,3,0,42,53,44.2,37,38,49.3,19,21,47.5,46.1,105.4,Vancouver Canucks,Arizona Coyotes,Vancouver Canucks,3,2
68,2023-03-18,@,Los Angeles Kings,3,2,W,SO,,40,2,0,2,0,39,69,36.1,28,52,35.0,17,27,38.6,26.6,100.8,Vancouver Canucks,Los Angeles Kings,Vancouver Canucks,2,3
69,2023-03-19,@,Anaheim Ducks,2,1,W,,,18,8,0,3,0,51,28,64.6,42,19,68.9,18,14,56.3,50.4,94.0,Vancouver Canucks,Anaheim Ducks,Vancouver Canucks,1,2
70,2023-03-21,,Vegas Golden Knights,3,4,L,,,27,4,0,4,0,52,40,56.5,41,29,58.6,24,22,52.2,55.5,85.8,Vancouver Canucks,Vancouver Canucks,Vegas Golden Knights,3,4
71,2023-03-23,,San Jose Sharks,7,2,W,,,19,10,0,2,1,36,32,52.9,22,27,44.9,22,20,52.4,65.4,133.8,Vancouver Canucks,Vancouver Canucks,San Jose Sharks,7,2
72,2023-03-25,@,Dallas Stars,3,1,W,,,26,6,0,4,0,32,40,44.4,25,25,50.0,22,23,48.9,37.9,108.3,Vancouver Canucks,Dallas Stars,Vancouver Canucks,1,3
73,2023-03-26,@,Chicago Blackhawks,4,2,W,,,31,6,0,3,1,52,40,56.5,34,31,52.3,19,22,46.3,39.3,108.0,Vancouver Canucks,Chicago Blackhawks,Vancouver Canucks,2,4
74,2023-03-28,@,St. Louis Blues,5,6,L,OT,,31,11,1,1,0,68,50,57.6,52,41,55.9,38,26,59.4,54.8,92.4,Vancouver Canucks,St. Louis Blues,Vancouver Canucks,6,5
75,2023-03-31,,Calgary Flames,4,5,L,OT,,41,4,1,6,0,34,65,34.3,25,45,35.7,28,18,60.9,19.5,104.3,Vancouver Canucks,Vancouver Canucks,Calgary Flames,4,5
76,2023-04-02,,Los Angeles Kings,1,4,L,,,25,8,1,2,0,40,46,46.5,32,31,50.8,24,20,54.5,32.3,90.5,Vancouver Canucks,Vancouver Canucks,Los Angeles Kings,1,4
77,2023-04-04,,Seattle Kraken,2,5,L,,,28,15,1,4,1,28,35,44.4,18,27,40.0,17,19,47.2,47.6,100.4,Vancouver Canucks,Vancouver Canucks,Seattle Kraken,2,5
78,2023-04-06,,Chicago Blackhawks,3,0,W,,,33,8,0,3,0,34,42,44.7,27,33,45.0,11,20,35.5,38.1,110.5,Vancouver Canucks,Vancouver Canucks,Chicago Blackhawks,3,0
79,2023-04-08,,Calgary Flames,3,2,W,SO,,43,6,1,2,0,46,58,44.2,35,45,43.8,20,21,48.8,51.2,100.9,Vancouver Canucks,Vancouver Canucks,Calgary Flames,3,2
80,2023-04-10,@,Los Angeles Kings,0,3,L,,,28,14,0,1,0,30,50,37.5,16,35,31.4,13,22,37.1,57.9,88.9,Vancouver Canucks,Los Angeles Kings,Vancouver Canucks,3,0
81,2023-04-11,@,Anaheim Ducks,3,2,W,,,35,8,1,5,0,53,37,58.9,40,29,58.0,17,22,43.6,56.0,98.9,Vancouver Canucks,Anaheim Ducks,Vancouver Canucks,2,3
82,2023-04-13,@,Arizona Coyotes,5,4,W,OT,,28,15,0,3,0,34,47,42.0,24,38,38.7,19,14,57.6,70.3,101.4,Vancouver Canucks,Arizona Coyotes,Vancouver Canucks,4,5
