GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
44,2023-01-13,,Edmonton Oilers,1,7,L,,,41,8,2,4,1,38,42,47.5,27,33,45.0,28,18,60.9,61.1,91.0,San Jose Sharks,San Jose Sharks,Edmonton Oilers,1,7
45,2023-01-16,,New Jersey Devils,3,4,L,SO,,41,10,0,1,0,49,63,43.8,37,41,47.4,24,23,51.1,53.5,98.8,San Jose Sharks,San Jose Sharks,New Jersey Devils,3,4
46,2023-01-18,,Dallas Stars,5,3,W,,,36,6,0,3,0,47,48,49.5,38,40,48.7,23,24,48.9,44.1,107.6,San Jose Sharks,San Jose Sharks,Dallas Stars,5,3
47,2023-01-21,@,Columbus Blue Jackets,3,5,L,,,29,7,1,2,0,33,52,38.8,30,39,43.5,25,27,48.1,41.4,97.0,San Jose Sharks,Columbus Blue Jackets,San Jose Sharks,5,3
48,2023-01-22,@,Boston Bruins,0,4,L,,,22,11,1,4,0,36,37,49.3,28,27,50.9,26,23,53.1,59.4,82.4,San Jose Sharks,Boston Bruins,San Jose Sharks,4,0
49,2023-01-24,@,Detroit Red Wings,2,3,L,OT,,35,4,0,2,0,60,50,54.5,38,42,47.5,25,28,47.2,37.2,97.5,San Jose Sharks,Detroit Red Wings,San Jose Sharks,3,2
50,2023-01-27,@,Carolina Hurricanes,4,5,L,OT,,36,4,1,2,0,46,60,43.4,34,45,43.0,28,29,49.1,43.9,101.6,San Jose Sharks,Carolina Hurricanes,San Jose Sharks,5,4
51,2023-01-28,@,Pittsburgh Penguins,6,4,W,,,41,9,2,4,1,58,68,46.0,41,47,46.6,25,26,49.0,21.7,117.1,San Jose Sharks,Pittsburgh Penguins,San Jose Sharks,4,6
52,2023-02-07,@,Tampa Bay Lightning,4,3,W,OT,,37,11,1,6,0,34,64,34.7,29,45,39.2,23,29,44.2,38.2,105.1,San Jose Sharks,Tampa Bay Lightning,San Jose Sharks,3,4
53,2023-02-09,@,Florida Panthers,1,4,L,,,42,11,0,1,2,50,67,42.7,39,52,42.9,27,29,48.2,47.6,98.4,San Jose Sharks,Florida Panthers,San Jose Sharks,4,1
54,2023-02-12,@,Washington Capitals,4,1,W,,,21,8,0,3,0,65,38,63.1,44,26,62.9,26,11,70.3,58.1,104.8,San Jose Sharks,Washington Capitals,San Jose Sharks,1,4
55,2023-02-14,,Pittsburgh Penguins,1,3,L,,,28,4,0,3,0,51,46,52.6,40,34,54.1,25,11,69.4,62.5,90.4,San Jose Sharks,San Jose Sharks,Pittsburgh Penguins,1,3
56,2023-02-16,@,Vegas Golden Knights,1,2,L,,,38,2,0,7,0,49,51,49.0,33,34,49.3,16,29,35.6,54.2,95.3,San Jose Sharks,Vegas Golden Knights,San Jose Sharks,2,1
57,2023-02-18,,Buffalo Sabres,2,4,L,,,31,4,0,1,0,51,59,46.4,42,41,50.6,34,35,49.3,64.8,93.8,San Jose Sharks,San Jose Sharks,Buffalo Sabres,2,4
58,2023-02-20,,Seattle Kraken,4,0,W,,,26,4,0,2,0,41,47,46.6,34,34,50.0,21,25,45.7,39.4,118.2,San Jose Sharks,San Jose Sharks,Seattle Kraken,4,0
59,2023-02-23,,Nashville Predators,2,6,L,,,31,12,2,3,1,48,45,51.6,31,31,50.0,24,19,55.8,47.1,92.2,San Jose Sharks,San Jose Sharks,Nashville Predators,2,6
60,2023-02-25,,Chicago Blackhawks,3,4,L,SO,,35,7,0,4,0,77,46,62.6,59,40,59.6,31,18,63.3,67.1,95.6,San Jose Sharks,San Jose Sharks,Chicago Blackhawks,3,4
61,2023-02-28,,Montreal Canadiens,1,3,L,,,32,6,0,3,0,63,42,60.0,46,35,56.8,28,26,51.9,50.2,92.2,San Jose Sharks,San Jose Sharks,Montreal Canadiens,1,3
62,2023-03-02,,St. Louis Blues,3,6,L,,,23,2,2,3,0,47,35,57.3,32,27,54.2,30,20,60.0,54.8,90.5,San Jose Sharks,San Jose Sharks,St. Louis Blues,3,6
63,2023-03-04,,Washington Capitals,3,8,L,,,30,8,1,3,0,54,48,52.9,37,33,52.9,19,28,40.4,46.9,78.9,San Jose Sharks,San Jose Sharks,Washington Capitals,3,8
64,2023-03-06,@,Winnipeg Jets,3,2,W,OT,,38,6,0,6,0,52,50,51.0,37,39,48.7,31,12,72.1,54.0,108.6,San Jose Sharks,Winnipeg Jets,San Jose Sharks,2,3
65,2023-03-07,@,Colorado Avalanche,0,6,L,,,43,6,1,5,0,29,52,35.8,15,40,27.3,25,21,54.3,30.3,83.9,San Jose Sharks,Colorado Avalanche,San Jose Sharks,6,0
66,2023-03-09,@,St. Louis Blues,2,4,L,,,30,8,1,4,0,51,40,56.0,37,31,54.4,35,18,66.0,53.4,94.6,San Jose Sharks,St. Louis Blues,San Jose Sharks,4,2
67,2023-03-11,,Minnesota Wild,2,5,L,,,29,10,2,4,0,59,37,61.5,42,30,58.3,28,27,50.9,57.3,84.2,San Jose Sharks,San Jose Sharks,Minnesota Wild,2,5
68,2023-03-14,,Columbus Blue Jackets,5,6,L,OT,,48,6,1,3,0,56,65,46.3,40,51,44.0,31,24,56.4,37.6,102.6,San Jose Sharks,San Jose Sharks,Columbus Blue Jackets,5,6
69,2023-03-16,,Seattle Kraken,1,2,L,OT,,32,6,0,3,0,50,57,46.7,36,43,45.6,21,16,56.8,61.9,95.4,San Jose Sharks,San Jose Sharks,Seattle Kraken,1,2
70,2023-03-18,,New York Islanders,1,4,L,,,33,6,1,5,1,50,46,52.1,34,36,48.6,21,15,58.3,36.0,95.0,San Jose Sharks,San Jose Sharks,New York Islanders,1,4
71,2023-03-20,@,Edmonton Oilers,4,5,L,OT,,52,4,0,3,0,42,69,37.8,33,55,37.5,24,37,39.3,44.0,101.1,San Jose Sharks,Edmonton Oilers,San Jose Sharks,5,4
72,2023-03-23,@,Vancouver Canucks,2,7,L,,,21,4,0,5,1,32,36,47.1,27,22,55.1,20,22,47.6,34.6,66.3,San Jose Sharks,Vancouver Canucks,San Jose Sharks,7,2
73,2023-03-25,@,Calgary Flames,3,5,L,,,30,6,0,1,0,49,59,45.4,35,48,42.2,28,27,50.9,56.1,91.8,San Jose Sharks,Calgary Flames,San Jose Sharks,5,3
74,2023-03-28,,Winnipeg Jets,3,0,W,,,41,6,0,3,0,49,69,41.5,35,54,39.3,18,24,42.9,37.0,107.7,San Jose Sharks,San Jose Sharks,Winnipeg Jets,3,0
75,2023-03-30,,Vegas Golden Knights,4,3,W,OT,,26,6,1,3,0,52,45,53.6,41,33,55.4,28,12,70.0,60.4,107.1,San Jose Sharks,San Jose Sharks,Vegas Golden Knights,4,3
76,2023-04-01,@,Arizona Coyotes,7,2,W,,,31,14,1,2,0,27,56,32.5,23,39,37.1,29,19,60.4,42.3,117.6,San Jose Sharks,Arizona Coyotes,San Jose Sharks,2,7
77,2023-04-04,,Colorado Avalanche,3,4,L,OT,,42,2,0,3,0,47,65,42.0,35,45,43.8,35,24,59.3,52.5,96.3,San Jose Sharks,San Jose Sharks,Colorado Avalanche,3,4
78,2023-04-06,,Colorado Avalanche,2,6,L,,,31,2,0,1,0,58,45,56.3,40,32,55.6,30,26,53.6,66.7,88.4,San Jose Sharks,San Jose Sharks,Colorado Avalanche,2,6
79,2023-04-08,,Edmonton Oilers,1,6,L,,,35,4,0,1,1,55,51,51.9,39,44,47.0,26,16,61.9,56.7,88.7,San Jose Sharks,San Jose Sharks,Edmonton Oilers,1,6
80,2023-04-10,@,Winnipeg Jets,2,6,L,,,33,8,2,2,0,30,65,31.6,22,53,29.3,21,24,46.7,29.6,94.8,San Jose Sharks,Winnipeg Jets,San Jose Sharks,6,2
81,2023-04-12,@,Calgary Flames,1,3,L,,,49,4,0,1,0,45,80,36.0,30,57,34.5,32,30,51.6,31.9,98.3,San Jose Sharks,Calgary Flames,San Jose Sharks,3,1
82,2023-04-13,@,Edmonton Oilers,2,5,L,,,36,8,1,3,1,36,45,44.4,27,31,46.6,18,19,48.6,30.0,91.7,San Jose Sharks,Edmonton Oilers,San Jose Sharks,5,2
