GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
73,2023-03-26,,Vancouver Canucks,2,4,L,,,31,6,1,3,0,40,52,43.5,31,34,47.7,22,19,53.7,60.7,92.0,Chicago Blackhawks,Chicago Blackhawks,Vancouver Canucks,2,4
74,2023-03-28,,Dallas Stars,1,4,L,,,33,7,1,4,1,29,42,40.8,21,32,39.6,19,23,45.2,45.3,97.6,Chicago Blackhawks,Chicago Blackhawks,Dallas Stars,1,4
75,2023-03-30,,St. Louis Blues,3,5,L,,,29,6,0,2,0,59,47,55.7,43,34,55.8,15,24,38.5,51.9,84.3,Chicago Blackhawks,Chicago Blackhawks,St. Louis Blues,3,5
76,2023-04-01,,New Jersey Devils,3,6,L,,,40,2,0,1,0,29,70,29.3,22,49,31.0,21,25,45.7,15.4,103.8,Chicago Blackhawks,Chicago Blackhawks,New Jersey Devils,3,6
77,2023-04-04,@,Calgary Flames,4,3,W,,,36,0,0,1,0,41,74,35.7,32,51,38.6,26,26,50.0,37.1,108.6,Chicago Blackhawks,Calgary Flames,Chicago Blackhawks,3,4
78,2023-04-06,@,Vancouver Canucks,0,3,L,,,29,8,1,3,0,42,34,55.3,33,27,55.0,20,11,64.5,61.9,89.5,Chicago Blackhawks,Vancouver Canucks,Chicago Blackhawks,3,0
79,2023-04-08,@,Seattle Kraken,3,7,L,,,31,8,1,3,0,52,38,57.8,37,29,56.1,29,21,58.0,55.6,82.6,Chicago Blackhawks,Seattle Kraken,Chicago Blackhawks,7,3
80,2023-04-10,,Minnesota Wild,2,4,L,,,22,21,0,2,1,79,37,68.1,48,25,65.8,32,18,64.0,66.5,88.5,Chicago Blackhawks,Chicago Blackhawks,Minnesota Wild,2,4
81,2023-04-11,@,Pittsburgh Penguins,5,2,W,,,40,4,1,5,0,35,58,37.6,30,39,43.5,21,28,42.9,22.6,118.2,Chicago Blackhawks,Pittsburgh Penguins,Chicago Blackhawks,2,5
82,2023-04-13,,Philadelphia Flyers,4,5,L,OT,,36,2,1,1,0,75,53,58.6,51,45,53.1,34,24,58.6,46.1,96.7,Chicago Blackhawks,Chicago Blackhawks,Philadelphia Flyers,4,5
