GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
37,2023-01-06,,Florida Panthers,2,3,L,,,20,10,2,2,0,53,32,62.4,39,25,60.9,30,16,65.2,51.6,102.1,Detroit Red Wings,Detroit Red Wings,Florida Panthers,2,3
38,2023-01-07,@,Toronto Maple Leafs,1,4,L,,,29,8,1,5,0,34,36,48.6,28,27,50.9,20,22,47.6,38.4,92.2,Detroit Red Wings,Toronto Maple Leafs,Detroit Red Wings,4,1
39,2023-01-10,,Winnipeg Jets,7,5,W,,,37,6,1,3,0,34,78,30.4,24,56,30.0,23,32,41.8,16.3,123.9,Detroit Red Wings,Detroit Red Wings,Winnipeg Jets,7,5
40,2023-01-12,,Toronto Maple Leafs,4,1,W,,,33,10,0,3,0,33,45,42.3,26,34,43.3,21,14,60.0,34.3,106.7,Detroit Red Wings,Detroit Red Wings,Toronto Maple Leafs,4,1
41,2023-01-14,,Columbus Blue Jackets,3,4,L,,,25,4,0,1,0,45,39,53.6,32,33,49.2,19,23,45.2,50.0,95.3,Detroit Red Wings,Detroit Red Wings,Columbus Blue Jackets,3,4
42,2023-01-16,@,Colorado Avalanche,3,6,L,,,27,6,2,4,0,45,49,47.9,36,26,58.1,28,16,63.6,47.8,88.5,Detroit Red Wings,Colorado Avalanche,Detroit Red Wings,6,3
43,2023-01-17,@,Arizona Coyotes,3,4,L,SO,,23,6,0,2,0,59,50,54.1,43,30,58.9,20,27,42.6,48.3,90.9,Detroit Red Wings,Arizona Coyotes,Detroit Red Wings,4,3
44,2023-01-19,@,Vegas Golden Knights,3,2,W,,,35,2,0,0,0,46,61,43.0,34,46,42.5,24,34,41.4,39.5,102.6,Detroit Red Wings,Vegas Golden Knights,Detroit Red Wings,2,3
45,2023-01-21,,Philadelphia Flyers,1,2,L,,,25,8,0,1,0,66,43,60.6,39,32,54.9,29,22,56.9,65.5,93.9,Detroit Red Wings,Detroit Red Wings,Philadelphia Flyers,1,2
46,2023-01-24,,San Jose Sharks,3,2,W,OT,,30,6,0,1,0,50,60,45.5,42,38,52.5,28,25,52.8,62.8,102.5,Detroit Red Wings,Detroit Red Wings,San Jose Sharks,3,2
47,2023-01-26,@,Montreal Canadiens,4,3,W,OT,,23,9,0,2,1,72,44,62.1,48,27,64.0,24,24,50.0,55.0,95.9,Detroit Red Wings,Montreal Canadiens,Detroit Red Wings,3,4
48,2023-01-27,@,New York Islanders,0,2,L,,,29,10,0,4,0,31,48,39.2,23,39,37.1,16,21,43.2,60.4,91.7,Detroit Red Wings,New York Islanders,Detroit Red Wings,2,0
49,2023-02-07,,Edmonton Oilers,2,5,L,,,27,18,1,4,1,37,32,53.6,30,25,54.5,18,19,48.6,75.8,91.7,Detroit Red Wings,Detroit Red Wings,Edmonton Oilers,2,5
50,2023-02-09,,Calgary Flames,2,1,W,,,36,10,0,3,0,23,52,30.7,16,40,28.6,15,17,46.9,30.0,110.8,Detroit Red Wings,Detroit Red Wings,Calgary Flames,2,1
51,2023-02-11,,Vancouver Canucks,5,2,W,,,34,12,1,3,0,29,56,34.1,23,37,38.3,19,19,50.0,28.0,112.1,Detroit Red Wings,Detroit Red Wings,Vancouver Canucks,5,2
52,2023-02-13,@,Vancouver Canucks,6,1,W,,,30,2,0,4,0,39,44,47.0,28,36,43.8,15,23,39.5,40.6,119.6,Detroit Red Wings,Vancouver Canucks,Detroit Red Wings,1,6
53,2023-02-15,@,Edmonton Oilers,5,4,W,SO,,45,4,1,3,0,29,75,27.9,25,58,30.1,27,31,46.6,66.1,102.5,Detroit Red Wings,Edmonton Oilers,Detroit Red Wings,4,5
54,2023-02-16,@,Calgary Flames,5,2,W,,,35,8,0,2,1,30,71,29.7,24,50,32.4,23,22,51.1,18.5,112.2,Detroit Red Wings,Calgary Flames,Detroit Red Wings,2,5
55,2023-02-18,@,Seattle Kraken,2,4,L,,,26,16,0,2,0,54,57,48.6,42,42,50.0,21,31,40.4,47.4,93.1,Detroit Red Wings,Seattle Kraken,Detroit Red Wings,4,2
56,2023-02-21,@,Washington Capitals,3,1,W,,,27,6,1,3,0,43,60,41.7,33,40,45.2,19,19,50.0,33.3,111.8,Detroit Red Wings,Washington Capitals,Detroit Red Wings,1,3
57,2023-02-23,,New York Rangers,4,1,W,,,31,15,0,2,0,33,58,36.3,25,37,40.3,24,22,52.2,24.2,112.5,Detroit Red Wings,Detroit Red Wings,New York Rangers,4,1
58,2023-02-25,,Tampa Bay Lightning,0,3,L,,,18,8,0,2,0,69,32,68.3,46,22,67.6,21,21,50.0,68.7,80.0,Detroit Red Wings,Detroit Red Wings,Tampa Bay Lightning,0,3
59,2023-02-27,@,Ottawa Senators,2,6,L,,,42,8,2,6,0,37,47,44.0,24,37,39.3,24,28,46.2,63.8,91.7,Detroit Red Wings,Ottawa Senators,Detroit Red Wings,6,2
60,2023-02-28,@,Ottawa Senators,1,6,L,,,27,27,2,6,1,26,36,41.9,20,27,42.6,18,18,50.0,71.0,89.6,Detroit Red Wings,Ottawa Senators,Detroit Red Wings,6,1
61,2023-03-02,,Seattle Kraken,4,5,L,OT,,37,11,1,5,0,37,54,40.7,30,39,43.5,31,20,60.8,39.2,102.9,Detroit Red Wings,Detroit Red Wings,Seattle Kraken,4,5
62,2023-03-04,@,New York Islanders,1,4,L,,,36,6,1,2,0,36,56,39.1,25,46,35.2,9,24,27.3,50.0,90.6,Detroit Red Wings,New York Islanders,Detroit Red Wings,4,1
63,2023-03-05,@,Philadelphia Flyers,1,3,L,,,37,6,0,3,1,45,62,42.1,30,43,41.1,27,16,62.8,44.8,97.6,Detroit Red Wings,Philadelphia Flyers,Detroit Red Wings,3,1
64,2023-03-08,,Chicago Blackhawks,4,3,W,,,20,6,1,3,0,58,30,65.9,48,20,70.6,33,24,57.9,65.8,96.1,Detroit Red Wings,Detroit Red Wings,Chicago Blackhawks,4,3
65,2023-03-11,@,Boston Bruins,2,3,L,,,38,4,1,4,0,41,50,45.1,32,37,46.4,20,28,41.7,35.1,92.9,Detroit Red Wings,Boston Bruins,Detroit Red Wings,3,2
66,2023-03-12,,Boston Bruins,5,3,W,,,33,12,0,3,0,37,64,36.6,30,41,42.3,19,24,44.2,65.7,98.8,Detroit Red Wings,Detroit Red Wings,Boston Bruins,5,3
67,2023-03-14,@,Nashville Predators,1,2,L,,,16,8,0,5,0,54,21,72.0,37,13,74.0,15,22,40.5,52.6,77.8,Detroit Red Wings,Nashville Predators,Detroit Red Wings,2,1
68,2023-03-18,,Colorado Avalanche,1,5,L,,,23,8,1,3,1,39,37,51.3,28,29,49.1,36,25,59.0,52.6,88.8,Detroit Red Wings,Detroit Red Wings,Colorado Avalanche,1,5
69,2023-03-20,,Florida Panthers,2,5,L,,,25,4,1,2,0,43,48,47.3,35,37,48.6,17,21,44.7,53.8,90.5,Detroit Red Wings,Detroit Red Wings,Florida Panthers,2,5
70,2023-03-21,@,St. Louis Blues,3,2,W,SO,,22,6,0,3,0,49,40,55.1,38,28,57.6,24,17,58.5,81.3,94.0,Detroit Red Wings,St. Louis Blues,Detroit Red Wings,2,3
71,2023-03-23,,St. Louis Blues,3,4,L,,,22,7,0,4,0,52,36,59.1,34,25,57.6,23,24,48.9,55.2,92.0,Detroit Red Wings,Detroit Red Wings,St. Louis Blues,3,4
72,2023-03-25,@,Philadelphia Flyers,0,3,L,,,22,14,0,3,0,34,35,49.3,24,27,47.1,17,17,50.0,54.2,82.4,Detroit Red Wings,Philadelphia Flyers,Detroit Red Wings,3,0
73,2023-03-28,,Pittsburgh Penguins,7,4,W,,,39,6,2,6,0,44,49,47.3,32,38,45.7,23,26,46.9,25.0,118.3,Detroit Red Wings,Detroit Red Wings,Pittsburgh Penguins,7,4
74,2023-03-30,,Carolina Hurricanes,3,2,W,,,33,6,0,3,0,28,78,26.4,23,54,29.9,27,24,52.9,23.7,105.3,Detroit Red Wings,Detroit Red Wings,Carolina Hurricanes,3,2
75,2023-03-31,@,Winnipeg Jets,2,6,L,,,29,2,0,3,0,51,52,49.5,37,34,52.1,21,20,51.2,70.6,79.3,Detroit Red Wings,Winnipeg Jets,Detroit Red Wings,6,2
76,2023-04-02,@,Toronto Maple Leafs,5,2,W,,,45,14,2,3,0,43,65,39.8,35,49,41.7,18,35,34.0,29.9,122.7,Detroit Red Wings,Toronto Maple Leafs,Detroit Red Wings,2,5
77,2023-04-04,@,Montreal Canadiens,5,0,W,,,24,8,0,3,0,36,31,53.7,24,26,48.0,16,13,55.2,53.2,125.0,Detroit Red Wings,Montreal Canadiens,Detroit Red Wings,0,5
78,2023-04-06,,Buffalo Sabres,6,7,L,SO,,36,8,1,3,0,43,44,49.4,33,39,45.8,29,24,54.7,51.1,96.9,Detroit Red Wings,Detroit Red Wings,Buffalo Sabres,6,7
79,2023-04-08,,Pittsburgh Penguins,1,5,L,,,28,6,1,4,0,40,41,49.4,28,28,50.0,25,11,69.4,45.4,88.9,Detroit Red Wings,Detroit Red Wings,Pittsburgh Penguins,1,5
80,2023-04-10,,Dallas Stars,1,6,L,,,22,6,1,3,0,37,41,47.4,26,30,46.4,15,21,41.7,42.9,80.6,Detroit Red Wings,Detroit Red Wings,Dallas Stars,1,6
81,2023-04-11,@,Carolina Hurricanes,1,4,L,,,28,4,0,1,0,30,47,39.0,25,37,40.3,27,21,56.3,58.6,88.3,Detroit Red Wings,Carolina Hurricanes,Detroit Red Wings,4,1
82,2023-04-13,@,Tampa Bay Lightning,0,5,L,,,32,6,1,2,0,49,54,47.6,38,39,49.4,17,29,37.0,55.5,85.2,Detroit Red Wings,Tampa Bay Lightning,Detroit Red Wings,5,0
