GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
70,2023-03-18,@,Seattle Kraken,6,4,W,,,37,13,0,2,0,35,54,39.3,27,44,38.0,27,26,50.9,34.4,115.3,Edmonton Oilers,Seattle Kraken,Edmonton Oilers,4,6
71,2023-03-20,,San Jose Sharks,5,4,W,OT,,32,6,0,2,0,69,42,62.2,55,33,62.5,37,24,60.7,56.0,98.9,Edmonton Oilers,Edmonton Oilers,San Jose Sharks,5,4
72,2023-03-22,,Arizona Coyotes,4,3,W,OT,,17,8,1,2,0,40,25,61.5,31,17,64.6,25,19,56.8,47.3,94.1,Edmonton Oilers,Edmonton Oilers,Arizona Coyotes,4,3
73,2023-03-25,,Vegas Golden Knights,3,4,L,OT,,34,6,1,2,0,57,59,49.1,36,44,45.0,29,30,49.2,50.7,98.9,Edmonton Oilers,Edmonton Oilers,Vegas Golden Knights,3,4
74,2023-03-27,@,Arizona Coyotes,5,4,W,,,33,8,1,4,0,52,42,55.3,39,33,54.2,22,31,41.5,53.2,97.6,Edmonton Oilers,Arizona Coyotes,Edmonton Oilers,4,5
75,2023-03-28,@,Vegas Golden Knights,7,4,W,,,22,6,0,3,1,61,28,68.5,45,22,67.2,29,24,54.7,75.0,89.7,Edmonton Oilers,Vegas Golden Knights,Edmonton Oilers,4,7
76,2023-03-30,,Los Angeles Kings,2,0,W,,,43,4,0,3,0,48,54,47.1,38,42,47.5,27,29,48.2,44.2,103.2,Edmonton Oilers,Edmonton Oilers,Los Angeles Kings,2,0
77,2023-04-01,,Anaheim Ducks,6,0,W,,,36,8,0,3,0,51,41,55.4,44,35,55.7,27,27,50.0,61.5,111.1,Edmonton Oilers,Edmonton Oilers,Anaheim Ducks,6,0
78,2023-04-04,@,Los Angeles Kings,3,1,W,,,21,10,0,4,0,45,30,60.0,34,23,59.6,29,17,63.0,41.3,97.8,Edmonton Oilers,Los Angeles Kings,Edmonton Oilers,1,3
79,2023-04-05,@,Anaheim Ducks,3,1,W,,,28,2,0,1,0,48,48,50.0,39,34,53.4,27,21,56.3,44.4,106.7,Edmonton Oilers,Anaheim Ducks,Edmonton Oilers,1,3
80,2023-04-08,@,San Jose Sharks,6,1,W,,,23,2,0,2,0,51,55,48.1,44,39,53.0,16,26,38.1,43.3,111.3,Edmonton Oilers,San Jose Sharks,Edmonton Oilers,1,6
81,2023-04-11,@,Colorado Avalanche,2,1,W,OT,,29,8,0,3,0,53,40,57.0,41,29,58.6,21,21,50.0,50.0,98.4,Edmonton Oilers,Colorado Avalanche,Edmonton Oilers,1,2
82,2023-04-13,,San Jose Sharks,5,2,W,,,29,6,1,4,0,45,36,55.6,31,27,53.4,19,18,51.4,70.0,108.3,Edmonton Oilers,Edmonton Oilers,San Jose Sharks,5,2
