GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
64,2023-03-04,,Pittsburgh Penguins,4,1,W,,,32,32,1,5,0,43,40,51.8,38,31,55.1,16,23,41.0,54.5,110.7,Florida Panthers,Florida Panthers,Pittsburgh Penguins,4,1
65,2023-03-07,,Vegas Golden Knights,2,1,W,,,23,6,1,4,0,64,36,64.0,40,24,62.5,22,17,56.4,56.4,106.5,Florida Panthers,Florida Panthers,Vegas Golden Knights,2,1
66,2023-03-10,,Chicago Blackhawks,4,3,W,OT,,24,8,0,6,0,58,39,59.8,41,36,53.2,16,25,39.0,48.4,94.8,Florida Panthers,Florida Panthers,Chicago Blackhawks,4,3
67,2023-03-11,,Winnipeg Jets,4,5,L,OT,,27,12,2,3,0,62,32,66.0,45,24,65.2,26,23,53.1,67.6,87.1,Florida Panthers,Florida Panthers,Winnipeg Jets,4,5
68,2023-03-16,,Montreal Canadiens,9,5,W,,,30,31,1,1,0,55,39,58.5,45,35,56.3,28,26,51.9,55.2,108.2,Florida Panthers,Florida Panthers,Montreal Canadiens,9,5
69,2023-03-18,,New Jersey Devils,4,2,W,,,35,8,0,2,1,52,45,53.6,38,40,48.7,20,20,50.0,41.7,106.7,Florida Panthers,Florida Panthers,New Jersey Devils,4,2
70,2023-03-20,@,Detroit Red Wings,5,2,W,,,22,6,0,1,0,48,43,52.7,37,35,51.4,21,17,55.3,46.2,109.5,Florida Panthers,Detroit Red Wings,Florida Panthers,2,5
71,2023-03-21,@,Philadelphia Flyers,3,6,L,,,24,23,0,2,0,60,36,62.5,43,30,58.9,20,23,46.5,57.7,79.4,Florida Panthers,Philadelphia Flyers,Florida Panthers,6,3
72,2023-03-23,,Toronto Maple Leafs,2,6,L,,,27,6,1,4,1,44,46,48.9,36,34,51.4,22,21,51.2,59.3,84.4,Florida Panthers,Florida Panthers,Toronto Maple Leafs,2,6
73,2023-03-25,,New York Rangers,3,4,L,,,42,4,0,3,0,60,51,54.1,37,41,47.4,34,24,58.6,52.5,99.8,Florida Panthers,Florida Panthers,New York Rangers,3,4
74,2023-03-27,@,Ottawa Senators,2,5,L,,,27,8,3,4,0,52,27,65.8,39,21,65.0,20,25,44.4,64.0,94.6,Florida Panthers,Ottawa Senators,Florida Panthers,5,2
75,2023-03-29,@,Toronto Maple Leafs,3,2,W,OT,,40,10,0,4,0,38,52,42.2,28,44,38.9,11,29,27.5,30.0,103.6,Florida Panthers,Toronto Maple Leafs,Florida Panthers,2,3
76,2023-03-30,@,Montreal Canadiens,5,2,W,,,20,4,1,2,0,55,48,53.4,42,29,59.2,20,20,50.0,52.0,109.0,Florida Panthers,Montreal Canadiens,Florida Panthers,2,5
77,2023-04-01,@,Columbus Blue Jackets,7,0,W,,,21,6,0,4,0,76,29,72.4,59,20,74.7,22,17,56.4,79.2,114.6,Florida Panthers,Columbus Blue Jackets,Florida Panthers,0,7
78,2023-04-04,,Buffalo Sabres,2,1,W,,,40,8,1,5,0,48,52,48.0,40,39,50.6,28,23,54.9,48.9,103.6,Florida Panthers,Florida Panthers,Buffalo Sabres,2,1
79,2023-04-06,,Ottawa Senators,7,2,W,,,58,88,0,6,0,29,68,29.9,20,54,27.0,23,29,44.2,43.2,112.8,Florida Panthers,Florida Panthers,Ottawa Senators,7,2
80,2023-04-08,@,Washington Capitals,4,2,W,,,24,10,0,3,0,56,35,61.5,36,25,59.0,27,24,52.9,55.1,103.1,Florida Panthers,Washington Capitals,Florida Panthers,2,4
81,2023-04-10,,Toronto Maple Leafs,1,2,L,OT,,25,4,0,1,0,78,47,62.4,56,37,60.2,20,22,47.6,50.0,94.4,Florida Panthers,Florida Panthers,Toronto Maple Leafs,1,2
82,2023-04-13,,Carolina Hurricanes,4,6,L,,,36,6,0,4,0,56,70,44.4,41,55,42.7,32,21,60.4,44.2,94.0,Florida Panthers,Florida Panthers,Carolina Hurricanes,4,6
