GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
60,2023-02-27,,Vancouver Canucks,4,5,L,OT,,21,10,1,3,0,55,30,64.7,38,23,62.3,28,20,58.3,59.4,82.0,Dallas Stars,Dallas Stars,Vancouver Canucks,4,5
61,2023-03-01,,Arizona Coyotes,4,2,W,,,20,8,1,5,0,50,30,62.5,40,21,65.6,21,13,61.8,72.2,99.5,Dallas Stars,Dallas Stars,Arizona Coyotes,4,2
62,2023-03-02,@,Chicago Blackhawks,5,2,W,,,21,6,0,2,0,59,38,60.8,44,25,63.8,23,23,50.0,57.1,98.9,Dallas Stars,Chicago Blackhawks,Dallas Stars,2,5
63,2023-03-04,,Colorado Avalanche,7,3,W,,,35,10,1,2,0,52,52,50.0,37,35,51.4,26,17,60.5,45.8,119.2,Dallas Stars,Dallas Stars,Colorado Avalanche,7,3
64,2023-03-06,,Calgary Flames,4,5,L,,,37,8,0,2,0,48,47,50.5,40,38,51.3,25,31,44.6,38.7,90.5,Dallas Stars,Dallas Stars,Calgary Flames,4,5
65,2023-03-09,@,Buffalo Sabres,10,4,W,,,29,6,0,2,0,57,43,57.0,51,36,58.6,33,24,57.9,55.6,106.6,Dallas Stars,Buffalo Sabres,Dallas Stars,4,10
66,2023-03-11,@,Seattle Kraken,4,3,W,OT,,31,2,1,4,0,49,50,49.5,32,38,45.7,27,22,55.1,35.8,111.0,Dallas Stars,Seattle Kraken,Dallas Stars,3,4
67,2023-03-13,@,Seattle Kraken,5,2,W,,,28,8,0,2,0,47,46,50.5,35,37,48.6,28,17,62.2,50.0,99.7,Dallas Stars,Seattle Kraken,Dallas Stars,2,5
68,2023-03-14,@,Vancouver Canucks,2,5,L,,,19,8,1,3,0,50,30,62.5,38,21,64.4,20,16,55.6,61.9,76.4,Dallas Stars,Vancouver Canucks,Dallas Stars,5,2
69,2023-03-16,@,Edmonton Oilers,1,4,L,,,30,6,1,4,1,42,45,48.3,29,36,44.6,24,16,60.0,52.0,96.2,Dallas Stars,Edmonton Oilers,Dallas Stars,4,1
70,2023-03-18,@,Calgary Flames,6,5,W,OT,,38,6,0,1,0,43,59,42.2,32,46,41.0,22,30,42.3,48.1,111.4,Dallas Stars,Calgary Flames,Dallas Stars,5,6
