GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
52,2023-02-11,,New York Rangers,2,6,L,,,19,4,1,1,0,59,37,61.5,45,29,60.8,31,25,55.4,67.6,78.6,Carolina Hurricanes,Carolina Hurricanes,New York Rangers,2,6
53,2023-02-14,@,Washington Capitals,3,2,W,,,36,2,0,3,0,58,54,51.8,45,41,52.3,25,39,39.1,45.7,100.7,Carolina Hurricanes,Washington Capitals,Carolina Hurricanes,2,3
54,2023-02-16,,Montreal Canadiens,6,2,W,,,22,6,1,3,0,59,29,67.0,50,25,66.7,21,22,48.8,60.7,109.2,Carolina Hurricanes,Carolina Hurricanes,Montreal Canadiens,6,2
55,2023-02-18,,Washington Capitals,4,1,W,,,25,13,0,2,0,53,36,59.6,40,31,56.3,32,33,49.2,63.2,106.9,Carolina Hurricanes,Carolina Hurricanes,Washington Capitals,4,1
56,2023-02-21,,St. Louis Blues,4,1,W,,,36,0,0,3,0,73,46,61.3,55,41,57.3,35,23,60.3,31.0,107.9,Carolina Hurricanes,Carolina Hurricanes,St. Louis Blues,4,1
57,2023-02-24,,Ottawa Senators,4,0,W,,,32,4,0,5,0,59,42,58.4,47,36,56.6,34,20,63.0,46.2,114.3,Carolina Hurricanes,Carolina Hurricanes,Ottawa Senators,4,0
58,2023-02-25,,Anaheim Ducks,2,3,L,,,16,8,0,3,0,72,25,74.2,57,19,75.0,24,24,50.0,76.4,81.5,Carolina Hurricanes,Carolina Hurricanes,Anaheim Ducks,2,3
59,2023-03-01,@,Vegas Golden Knights,2,3,L,,,20,0,0,1,0,63,47,57.3,44,31,58.7,25,31,44.6,77.8,92.7,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,3,2
60,2023-03-03,@,Arizona Coyotes,6,1,W,,,18,8,0,3,0,62,30,67.4,50,22,69.4,24,21,53.3,75.0,102.3,Carolina Hurricanes,Arizona Coyotes,Carolina Hurricanes,1,6
61,2023-03-05,,Tampa Bay Lightning,6,0,W,,,14,22,0,2,0,37,30,55.2,30,21,58.8,23,24,48.9,58.1,108.3,Carolina Hurricanes,Carolina Hurricanes,Tampa Bay Lightning,6,0
62,2023-03-07,@,Montreal Canadiens,4,3,W,SO,,24,6,0,4,0,79,41,65.8,56,34,62.2,30,24,55.6,56.2,95.6,Carolina Hurricanes,Montreal Canadiens,Carolina Hurricanes,3,4
