GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
54,2023-02-17,@,New York Islanders,4,5,L,,,28,2,1,2,0,79,41,65.8,62,30,67.4,35,22,61.4,46.2,93.3,Pittsburgh Penguins,New York Islanders,Pittsburgh Penguins,5,4
55,2023-02-18,,New Jersey Devils,2,5,L,,,43,10,1,3,1,55,54,50.5,36,45,44.4,24,19,55.8,36.5,95.7,Pittsburgh Penguins,Pittsburgh Penguins,New Jersey Devils,2,5
56,2023-02-20,,New York Islanders,2,4,L,,,32,32,0,3,0,64,52,55.2,51,33,60.7,16,26,38.1,58.6,87.7,Pittsburgh Penguins,Pittsburgh Penguins,New York Islanders,2,4
57,2023-02-23,,Edmonton Oilers,2,7,L,,,44,8,2,3,0,39,55,41.5,31,45,40.8,26,19,57.8,47.8,91.5,Pittsburgh Penguins,Pittsburgh Penguins,Edmonton Oilers,2,7
58,2023-02-25,@,St. Louis Blues,3,2,W,OT,,27,4,0,3,0,74,43,63.2,62,31,66.7,24,22,52.2,50.0,98.2,Pittsburgh Penguins,St. Louis Blues,Pittsburgh Penguins,2,3
59,2023-02-26,,Tampa Bay Lightning,7,3,W,,,29,4,1,3,0,54,54,50.0,39,40,49.4,25,24,51.0,50.0,111.1,Pittsburgh Penguins,Pittsburgh Penguins,Tampa Bay Lightning,7,3
60,2023-02-28,@,Nashville Predators,3,1,W,,,25,6,0,2,0,64,46,58.2,46,27,63.0,23,10,69.7,45.8,104.7,Pittsburgh Penguins,Nashville Predators,Pittsburgh Penguins,1,3
61,2023-03-02,@,Tampa Bay Lightning,5,4,W,OT,,31,10,2,5,0,36,38,48.6,28,31,47.5,24,23,51.1,44.5,113.6,Pittsburgh Penguins,Tampa Bay Lightning,Pittsburgh Penguins,4,5
62,2023-03-04,@,Florida Panthers,1,4,L,,,42,32,1,5,0,40,43,48.2,31,38,44.9,23,16,59.0,45.5,89.3,Pittsburgh Penguins,Florida Panthers,Pittsburgh Penguins,4,1
63,2023-03-07,,Columbus Blue Jackets,5,4,W,OT,,27,4,1,2,0,89,38,70.1,62,29,68.1,29,31,48.3,63.1,95.5,Pittsburgh Penguins,Pittsburgh Penguins,Columbus Blue Jackets,5,4
64,2023-03-09,,New York Islanders,3,4,L,OT,,28,8,1,4,0,54,51,51.4,46,30,60.5,20,18,52.6,36.4,92.4,Pittsburgh Penguins,Pittsburgh Penguins,New York Islanders,3,4
65,2023-03-11,,Philadelphia Flyers,5,1,W,,,32,8,0,3,0,40,42,48.8,24,32,42.9,19,17,52.8,64.0,114.5,Pittsburgh Penguins,Pittsburgh Penguins,Philadelphia Flyers,5,1
66,2023-03-12,,New York Rangers,3,2,W,OT,,29,10,0,2,0,50,52,49.0,36,32,52.9,28,28,50.0,47.6,95.2,Pittsburgh Penguins,Pittsburgh Penguins,New York Rangers,3,2
67,2023-03-14,,Montreal Canadiens,4,6,L,,,22,10,0,2,0,74,43,63.2,55,30,64.7,33,15,68.8,55.3,78.1,Pittsburgh Penguins,Pittsburgh Penguins,Montreal Canadiens,4,6
68,2023-03-16,@,New York Rangers,2,4,L,,,35,0,0,2,0,59,58,50.4,45,42,51.7,27,22,55.1,29.0,94.3,Pittsburgh Penguins,New York Rangers,Pittsburgh Penguins,4,2
69,2023-03-18,@,New York Rangers,0,6,L,,,24,12,1,4,0,53,31,63.1,38,23,62.3,21,21,50.0,57.1,72.2,Pittsburgh Penguins,New York Rangers,Pittsburgh Penguins,6,0
70,2023-03-20,,Ottawa Senators,1,2,L,,,21,6,1,2,0,83,43,65.9,59,31,65.6,32,21,60.4,72.2,96.3,Pittsburgh Penguins,Pittsburgh Penguins,Ottawa Senators,1,2
71,2023-03-22,@,Colorado Avalanche,5,2,W,,,30,10,1,3,0,64,54,54.2,50,39,56.2,29,21,58.0,59.0,104.6,Pittsburgh Penguins,Colorado Avalanche,Pittsburgh Penguins,2,5
72,2023-03-23,@,Dallas Stars,2,3,L,,,33,4,1,3,0,69,50,58.0,52,36,59.1,23,32,41.8,47.2,98.0,Pittsburgh Penguins,Dallas Stars,Pittsburgh Penguins,3,2
73,2023-03-25,,Washington Capitals,4,3,W,,,34,13,1,3,0,48,58,45.3,38,44,46.3,20,29,40.8,46.9,102.6,Pittsburgh Penguins,Pittsburgh Penguins,Washington Capitals,4,3
74,2023-03-28,@,Detroit Red Wings,4,7,L,,,25,12,2,3,0,49,44,52.7,38,32,54.3,26,23,53.1,75.0,81.7,Pittsburgh Penguins,Detroit Red Wings,Pittsburgh Penguins,7,4
75,2023-03-30,,Nashville Predators,2,0,W,,,28,8,0,3,0,65,36,64.4,51,24,68.0,21,18,53.8,57.7,103.2,Pittsburgh Penguins,Pittsburgh Penguins,Nashville Predators,2,0
76,2023-04-01,,Boston Bruins,3,4,L,,,35,12,2,3,0,36,51,41.4,26,38,40.6,21,19,52.5,34.6,110.2,Pittsburgh Penguins,Pittsburgh Penguins,Boston Bruins,3,4
77,2023-04-02,,Philadelphia Flyers,4,2,W,,,33,12,0,5,0,44,52,45.8,37,38,49.3,21,24,46.7,43.9,104.1,Pittsburgh Penguins,Pittsburgh Penguins,Philadelphia Flyers,4,2
78,2023-04-04,@,New Jersey Devils,1,5,L,,,37,8,1,4,0,40,49,44.9,26,37,41.3,18,20,47.4,56.5,89.6,Pittsburgh Penguins,New Jersey Devils,Pittsburgh Penguins,5,1
79,2023-04-06,,Minnesota Wild,4,1,W,,,28,8,1,5,0,35,49,41.7,26,33,44.1,25,19,56.8,43.3,112.0,Pittsburgh Penguins,Pittsburgh Penguins,Minnesota Wild,4,1
80,2023-04-08,@,Detroit Red Wings,5,1,W,,,20,8,0,3,0,41,40,50.6,28,28,50.0,11,25,30.6,54.6,111.1,Pittsburgh Penguins,Detroit Red Wings,Pittsburgh Penguins,1,5
81,2023-04-11,,Chicago Blackhawks,2,5,L,,,27,10,0,2,0,58,35,62.4,39,30,56.5,28,21,57.1,77.4,81.8,Pittsburgh Penguins,Pittsburgh Penguins,Chicago Blackhawks,2,5
82,2023-04-13,@,Columbus Blue Jackets,2,3,L,OT,,34,4,1,4,0,51,56,47.7,42,46,47.7,19,25,43.2,50.0,93.3,Pittsburgh Penguins,Columbus Blue Jackets,Pittsburgh Penguins,3,2
